Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Minneapolis,77,4662,1555,La Crosse,130,4942,1762,160
Snyder,129,3586,4154,Brownwood,113,3843,4316,160
Canc£n,111,6238,6512,Valladolid,90,6023,6538,161
Felipe Carrillo Puerto,60,1881,888,Valladolid,90,1847,829,161
Idaho Falls,97,1967,1855,TwinFalls,73,1600,1998,161
Ju rez,94,2668,4320,Janos,90,2378,4451,161
Austin,129,4138,4658,Houston,131,4549,4737,162
Lordsburg,61,2305,4193,El Paso,136,2668,4318,162
Portland,141,545,1179,Bend,147,659,1526,162
Chicago,56,5512,2095,Ft. Wayne,134,5916,2189,163
Jacksoville,126,6858,4266,Tallahassee,57,6415,4323,163
Redding,75,372,2197,Sacramento,58,425,2653,163
San Angelo,122,3670,4425,Ft. Stockton,135,3273,4532,163
Socorro,100,2609,3873,Roswell,118,3000,4011,163
Guadalajara,70,886,909,Colima,50,860,1005,164
International Falls,94,4547,834,Duluth,92,4745,1167,164
Miami,87,7302,5105,Keywest,84,7057,5358,164
Sacramento,58,425,2653,Fresno,143,612,3086,164
Winnemucca,67,1074,2264,Reno,138,712,2506,164
Carlsbad,94,3119,4234,El Paso,136,2668,4318,165
Boston,98,7845,1429,Albany,144,7458,1488,166
Guymon,85,3491,3358,Tucumcari,67,3135,3662,166
Tifton,92,6505,4099,Jacksoville,126,6858,4266,166
Atlanta,94,6280,3650,Montgomery,91,6013,4028,167
Cairo,66,5433,3109,Corinth,57,5582,3550,167
Columbus,137,6277,2348,Charleston WV,66,6552,2638,167
Santa Fe,138,2783,3552,Tucumcari,67,3135,3662,167
Sault Ste. Marie,123,5829,1077,Marquette,114,5402,1129,167
Davenport,72,5100,2204,Des Moines,112,4649,2263,168
Ellensburg,117,896,939,Pendleton,67,1081,1258,168
Guadalajara,70,886,909,Manzanillo,80,820,998,168
Marquette,114,5402,1129,Mackinaw,146,5806,1227,168
Memphis,60,5337,3549,Lake Village,102,5163,3946,168
Raleigh,69,7126,3047,Charlotte,144,6861,3274,168
Atoka,77,4371,3791,Texarkana,134,4714,3940,169
Cairo,66,5433,3109,Memphis,60,5337,3549,169
Guadalajara,70,886,909,Salamanca,90,1040,915,169
Vernon,142,3856,3863,Ft. Worth,53,4122,4122,169
Chicago,56,5512,2095,Peoria,142,5251,2375,170
Durango CO,79,2499,3222,Gallup,113,2327,3565,170
Grand Junction,132,2416,2832,Durango CO,79,2499,3222,170
Greensboro,120,6900,3059,Asheville,69,6524,3228,170
Guadalajara,70,886,909,Tepic,110,780,843,170
Montgomery,91,6013,4028,Mobile,89,5771,4427,170
Raton,117,3036,3313,Santa Fe,138,2783,3552,170
Amarillo,149,3440,3647,Vernon,142,3856,3863,171
Raleigh,69,7126,3047,Florence,122,7029,3415,171
Florence,122,7029,3415,Savannah,78,6885,3887,172
Grants Pass,146,309,1790,Eureka,52,119,2102,172
Oklahoma,86,4136,3580,Vernon,142,3856,3863,172
Roanoke,74,6851,2803,Raleigh,69,7126,3047,172
San Diego,98,919,3981,Yuma,116,1333,4032,172
